SPECIES,ORGANIZATION,HAUL_NO,DATE,LOCATION,LAT,LONG,BOTTOM_DEPTH(m),SAMPLE_NUM,LENGTH(mm),NUM_INDIVIDUALS,WET_WEIGHT(g),DRY_WEIGHT(g),AFDW(g),WATER_CONTENT(%mass),"WATER_CONTENT(%mass,AFDW)",WET:DRY,WET:DRY(AFDW),SUBSAMPLE_WEIGHT(g),GROSS_HEAT(J/Kg),"ENERGY_DENSITY(kJ/g,DRY)","ENERGY_DENSITY(kJ/g,WET)","ENERGY_DENSITY(kJ/g,WET,AFDW)",NOTES
E. pacifica/ T. spinifera,NOAA,28,5/5/2021,POINT SUR,36.175404,122.047076,104,3,17.05,35,2.007,0.3547,0.279738928,0.82326856,0.8606183717,5.658302791,7.17454669,0.3547,16708352.1,16.7083521,3.077598225,2.4475299,
E. pacifica/ T. spinifera,NOAA,28,5/5/2021,POINT SUR,36.175404,122.047076,104,4,17.46,36,2.0332,0.3779,0.301960363,0.8141353531,0.8514851648,5.380259328,6.733334071,0.3779,16804077.49,16.80407749,3.095230382,2.461552273,
E. pacifica/ T. spinifera,NOAA,28,5/5/2021,POINT SUR,36.175404,122.047076,104,5,17.03,38,2.1222,0.3955,0.3162362297,0.813636792,0.8509866037,5.365865992,6.710806038,0.3955,17745672.32,17.74567232,3.268667628,2.599482183,
E. pacifica/ T. spinifera,NOAA,28,5/5/2021,POINT SUR,36.175404,122.047076,104,6,16.95,35,2.0322,0.4011,0.3251977128,0.8026276941,0.8399775058,5.066566941,6.249121443,0.4011,16999934.23,16.99993423,3.131306253,2.490242429,
E. pacifica/ T. spinifera,NOAA,28,5/5/2021,POINT SUR,36.175404,122.047076,104,7,17.23,36,2.0123,0.4123,0.337140974,0.7951100731,0.8324598847,4.880669415,5.968719779,0.4123,16789823.21,16.78982321,3.092604812,2.459464229,
E. pacifica/ T. spinifera,NOAA,28,5/5/2021,POINT SUR,36.175404,122.047076,104,8,17.1,38,2.0112,0.3879,0.3127820588,0.8071300716,0.8444798832,5.184841454,6.430036325,0.3879,17732323.2,17.7323232,3.266208785,2.597526732,
E. pacifica/ T. spinifera,NOAA,28,5/5/2021,POINT SUR,36.175404,122.047076,104,9,16.59,37,2.0431,0.3992,0.3228905998,0.8046106407,0.8419604523,5.117985972,6.327530133,0.3992,16988092.23,16.98809223,3.129125014,2.488507749,
E. pacifica/ T. spinifera,NOAA,28,5/5/2021,POINT SUR,36.175404,122.047076,104,10,17.3,33,2.0554,0.3891,0.3123311971,0.8106937822,0.8480435939,5.282446672,6.580834764,0.3891,17998723.32,17.99872332,3.315278407,2.636550464,
E. pacifica/ T. spinifera,NOAA,48,5/11/2021,PIEDRAS BLANCAS,35.419861,121.227555,441,1,17.35,31,2.1552,0.4141,0.3384478341,0.8078600594,0.8429622151,5.204539966,6.3678942,0.4141,17118251.6,17.1182516,3.433049487,2.827247258,
E. pacifica/ T. spinifera,NOAA,48,5/11/2021,PIEDRAS BLANCAS,35.419861,121.227555,441,2,18.1,27,2.0185,0.3949,0.3240462988,0.804359673,0.8394618287,5.111420613,6.229048156,0.3949,16822348.13,16.82234813,3.37370632,2.778375896,
E. pacifica/ T. spinifera,NOAA,48,5/11/2021,PIEDRAS BLANCAS,35.419861,121.227555,441,3,18.92,26,2.0254,0.3865,0.3154040939,0.8091734966,0.8442756523,5.240362225,6.421603394,0.3865,17078606.96,17.07860696,3.425098791,2.820699557,
E. pacifica/ T. spinifera,NOAA,48,5/11/2021,PIEDRAS BLANCAS,35.419861,121.227555,441,4,17.57,29,2.108,0.3607,0.2867046559,0.8288899431,0.8639920987,5.844191849,7.352514014,0.3607,16903501.88,16.90350188,3.38998163,2.791779234,
E. pacifica/ T. spinifera,NOAA,48,5/11/2021,PIEDRAS BLANCAS,35.419861,121.227555,441,5,16.98,38,2.2252,0.4979,0.4197906832,0.7762448319,0.8113469876,4.469170516,5.300736984,0.4979,16727614.65,16.72761465,3.354707609,2.762729732,
E. pacifica/ T. spinifera,NOAA,48,5/11/2021,PIEDRAS BLANCAS,35.419861,121.227555,441,6,17.01,42,2.4867,0.5533,0.4660114695,0.7774962802,0.8125984359,4.494306886,5.336134758,0.5533,16780860.02,16.78086002,3.365385918,2.771523728,
E. pacifica/ T. spinifera,NOAA,48,5/11/2021,PIEDRAS BLANCAS,35.419861,121.227555,441,7,17.98,40,2.4015,0.4699,0.3856021732,0.8043306267,0.8394327824,5.110661843,6.227921332,0.4699,17923157.14,17.92315714,3.594472547,2.960185308,
E. pacifica/ T. spinifera,NOAA,48,5/11/2021,PIEDRAS BLANCAS,35.419861,121.227555,441,8,17.78,40,2.1449,0.4221,0.3468093863,0.8032076087,0.8383097644,5.081497276,6.184665365,0.4221,18108132.91,18.10813291,3.631569266,2.990735872,
E. pacifica/ T. spinifera,NOAA,48,5/11/2021,PIEDRAS BLANCAS,35.419861,121.227555,441,9,17.31,46,2.6694,0.5552,0.4614983057,0.7920131865,0.8271153421,4.807997118,5.784203251,0.5552,17686995.13,17.68699513,3.547110475,2.921180834,
E. pacifica/ T. spinifera,NOAA,48,5/11/2021,PIEDRAS BLANCAS,35.419861,121.227555,441,10,17.54,40,2.3777,0.5285,0.4450376045,0.7777263742,0.8128285299,4.498959319,5.342694586,0.5285,17349945.61,17.34994561,3.479515506,2.865513798,
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,37.35289,122.489182,73,1,19.78,17,2.0702,0.5731,0.4974484116,0.7231668438,0.7597099741,3.612284069,4.161637572,0.5731,19573593.68,19.57359368,6.308612562,5.584115547,
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,37.35289,122.489182,73,2,20.98,18,2.058,0.6463,0.5710942378,0.68595724,0.7225003704,3.184279746,3.603608413,0.6463,19532038.35,19.53203835,6.295219187,5.572260301,
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,37.35289,122.489182,73,3,22.82,16,2.0653,0.5843,0.5088274729,0.717087106,0.7536302363,3.534656854,4.05893964,0.5843,19198661.66,19.19866166,6.187771142,5.477151861,
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,37.35289,122.489182,73,4,19.69,21,2.0571,0.6062,0.5310271266,0.7053133051,0.7418564355,3.39343451,3.873813402,0.6062,19574152.32,19.57415232,6.308792613,5.58427492,
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,37.35289,122.489182,73,5,18.57,24,2.0748,0.6178,0.5419803132,0.7022363601,0.7387794905,3.358368404,3.82818333,0.6178,19623394.28,19.62339428,6.324663406,5.598323071,
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,37.35289,122.489182,73,6,19.42,22,2.0648,0.6448,0.5693457445,0.6877179388,0.7242610691,3.202233251,3.626618834,0.6448,19513891.28,19.51389128,6.289370346,5.567083156,
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,37.35289,122.489182,73,7,20.02,21,2.0685,0.6941,0.6185105349,0.664442833,0.7009859633,2.980118139,3.344324604,0.6941,19347387.73,19.34738773,6.235705884,5.519581656,
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,37.35289,122.489182,73,8,20.41,20,2.1077,0.7143,0.6372780442,0.661099777,0.6976429073,2.950720986,3.307347584,0.7143,18510136.09,18.51013609,5.965857827,5.280723632,
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,37.35289,122.489182,73,9,19.37,22,2.0727,0.7759,0.7001570538,0.6256573551,0.6622004855,2.671349401,2.960335812,0.7759,16297021.79,16.29702179,5.25256619,4.64934821,
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,37.35289,122.489182,73,10,18.61,27,2.3716,0.8711,0.7844343121,0.6326952269,0.6692383572,2.722534726,3.02332517,0.8711,18451614.01,18.45161401,5.946996031,5.264027972,
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,37.35289,122.489182,73,11,19.93,25,2.2719,0.8658,0.7827776622,0.618909283,0.6554524133,2.624047124,2.90235671,0.8658,18435400.86,18.43540086,5.941770497,5.259402552,
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,37.35289,122.489182,73,12,19.59,27,2.0635,0.7544,0.6789932506,0.63440756,0.6709506903,2.73528632,3.039058191,0.7544,18220284.41,18.22028441,5.872437989,5.198032364,
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,37.35289,122.489182,73,13,19.87,24,2.902,0.825,0.7189518358,0.7157133012,0.7522564315,3.517575758,4.036431727,0.825,18321324.05,18.32132405,5.905003289,5.226857783,
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,37.35289,122.489182,73,14,19.66,26,2.3475,0.7956,0.7098150016,0.661086262,0.6976293923,2.950603318,3.307199756,0.7956,18169120.55,18.16912055,5.855947764,5.183435918,
E. pacifica/ T. spinifera,NOAA,72,5/24/2021,FALSE CAPE,40.291893,124.436369,1644,1,16.89,41,2.0671,0.4932,0.4234074006,0.7614048667,0.7951683999,4.191200324,4.882059211,0.4932,21837447.68,21.83744768,4.713896886,3.972281784,
E. pacifica/ T. spinifera,NOAA,72,5/24/2021,FALSE CAPE,40.291893,124.436369,1644,2,16.84,41,2.0673,0.5192,0.4494006479,0.7488511585,0.7826146917,3.981702619,4.600126879,0.5192,19355999.64,19.35599964,4.178244077,3.520900698,
E. pacifica/ T. spinifera,NOAA,72,5/24/2021,FALSE CAPE,40.291893,124.436369,1644,3,18.13,34,2.028,0.4195,0.3510275548,0.7931459566,0.8269094898,4.834326579,5.777324237,0.4195,18845033.07,18.84503307,4.067945303,3.427954708,
E. pacifica/ T. spinifera,NOAA,72,5/24/2021,FALSE CAPE,40.291893,124.436369,1644,4,17.58,34,2.0337,0.4249,0.3562351026,0.7910704627,0.8248339959,4.786302659,5.708870308,0.4249,18785164.87,18.78516487,4.055021974,3.417064545,
E. pacifica/ T. spinifera,NOAA,72,5/24/2021,FALSE CAPE,40.291893,124.436369,1644,5,17.35,35,2.0013,0.4198,0.3522290411,0.7902363464,0.8239998795,4.767270129,5.681814293,0.4198,18954678.13,18.95467813,4.091613614,3.447899395,
E. pacifica/ T. spinifera,NOAA,72,5/24/2021,FALSE CAPE,40.291893,124.436369,1644,6,17.25,36,2.0345,0.4222,0.3535080918,0.7924797247,0.8262432579,4.818806253,5.755172363,0.4222,19333235.1,19.3332351,4.173330056,3.516759776,
E. pacifica/ T. spinifera,NOAA,72,5/24/2021,FALSE CAPE,40.291893,124.436369,1644,7,16.89,41,2.1342,0.4892,0.4171418675,0.7707806204,0.8045441535,4.36263287,5.116245014,0.4892,18778982.13,18.77898213,4.053687349,3.41593989,
E. pacifica/ T. spinifera,NOAA,72,5/24/2021,FALSE CAPE,40.291893,124.436369,1644,8,17.89,39,2.0234,0.4125,0.344182867,0.7961352179,0.8298987511,4.905212121,5.878851605,0.4125,18899820.1,18.8998201,4.079771795,3.437920594,
E. pacifica/ T. spinifera,NOAA,72,5/24/2021,FALSE CAPE,40.291893,124.436369,1644,9,18.01,34,2.045,0.4431,0.3740535747,0.7833251834,0.8170887165,4.615211013,5.467131284,0.4431,18977872.21,18.97787221,4.096620357,3.452118452,
E. pacifica/ T. spinifera,NOAA,72,5/24/2021,FALSE CAPE,40.291893,124.436369,1644,10,17.15,37,2.089,0.4126,0.3420679792,0.8024892293,0.8362527625,5.063015027,6.106973253,0.4126,19011234.32,19.01123432,4.103822002,3.458187096,
E. pacifica/ T. spinifera,NOAA,76,5/24/2021,FLINT ROCK HEAD,41.304853,124.289519,170,1,20.49,17,2.0937,0.5447,0.4791400221,0.7398385633,0.7711515393,3.843767211,4.369703851,0.5447,19574152,19.574152,4.861141669,4.246834065,
E. pacifica/ T. spinifera,NOAA,76,5/24/2021,FLINT ROCK HEAD,41.304853,124.289519,170,2,20.49,18,2.0969,0.4948,0.4291398206,0.7640326196,0.7953455956,4.237873888,4.886286239,0.4948,19627504.03,19.62750403,4.874391376,4.258409392,
E. pacifica/ T. spinifera,NOAA,76,5/24/2021,FLINT ROCK HEAD,41.304853,124.289519,170,3,19.1,22,2.1352,0.5621,0.4952405336,0.7367459723,0.7680589483,3.798612347,4.31144031,0.5621,19363364.59,19.36336459,4.808793681,4.201101348,
E. pacifica/ T. spinifera,NOAA,76,5/24/2021,FLINT ROCK HEAD,41.304853,124.289519,170,4,19.74,20,2.0666,0.4909,0.4261886038,0.7624600794,0.7937730554,4.2098187,4.84902689,0.4909,19303985.63,19.30398563,4.794047217,4.188218409,
E. pacifica/ T. spinifera,NOAA,76,5/24/2021,FLINT ROCK HEAD,41.304853,124.289519,170,5,19.01,21,2.0565,0.4982,0.4338048648,0.7577437394,0.7890567154,4.127860297,4.740610737,0.6481,17424531.34,17.42453134,4.327294248,3.780449506,
E. pacifica/ T. spinifera,NOAA,76,5/24/2021,FLINT ROCK HEAD,41.304853,124.289519,170,6,19.5,18,2.1119,0.5144,0.448270126,0.7564278612,0.7877408372,4.105559876,4.711221823,0.6491,17508437.59,17.50843759,4.348131941,3.798653917,
E. pacifica/ T. spinifera,NOAA,76,5/24/2021,FLINT ROCK HEAD,41.304853,124.289519,170,7,19.87,19,2.0234,0.5483,0.4849413243,0.7290204606,0.7603334366,3.690315521,4.172463551,0.6963,17189067.49,17.18906749,4.268817991,3.729362956,
E. pacifica/ T. spinifera,NOAA,76,5/24/2021,FLINT ROCK HEAD,41.304853,124.289519,170,8,19.93,19,2.0022,0.4988,0.4361051594,0.7508740386,0.7821870146,4.014033681,4.591094502,0.6555,17141940.21,17.20455408,4.272664008,3.732722947,
E. pacifica/ T. spinifera,NOAA,76,5/24/2021,FLINT ROCK HEAD,41.304853,124.289519,170,9,18.99,22,2.0123,0.4972,0.4341888984,0.7529195448,0.7842325208,4.047264682,4.634618728,0.6695,17204554.08,17.20455408,4.272664008,3.732722947,
E. pacifica/ T. spinifera,NOAA,76,5/24/2021,FLINT ROCK HEAD,41.304853,124.289519,170,10,19.45,20,2.0534,0.4899,0.4256019351,0.7614200838,0.7927330598,4.191467646,4.824696109,0.6668,17208158.98,17.20815898,4.273559266,3.733505071,
E. pacifica/ T. spinifera,NOAA,94,5/30/2021,NWC STATION,44.298011,124.358149,142,1,16.69,40,2.134,0.4889,0.4168810916,0.7708997188,0.8046480358,4.364900798,5.118965679,0.4889,18865126.18,18.86512618,4.739993051,4.082801239,
E. pacifica/ T. spinifera,NOAA,94,5/30/2021,NWC STATION,44.298011,124.358149,142,2,17.34,44,2.0737,0.4763,0.4063161151,0.7703139316,0.8040622486,4.353768633,5.103661713,0.4763,18401970.53,18.40197053,4.623622,3.982564832,
E. pacifica/ T. spinifera,NOAA,94,5/30/2021,NWC STATION,44.298011,124.358149,142,3,16.91,44,2.099,0.4995,0.4286622827,0.7620295379,0.7957778548,4.202202202,4.896628616,0.4995,18408690.05,18.40869005,4.625310326,3.984019075,
E. pacifica/ T. spinifera,NOAA,94,5/30/2021,NWC STATION,44.298011,124.358149,142,4,16.53,47,2.0381,0.5415,0.4727175552,0.7343113684,0.7680596854,3.763804247,4.311454012,0.5415,18482905.01,18.48290501,4.643957347,4.000080718,
E. pacifica/ T. spinifera,NOAA,94,5/30/2021,NWC STATION,44.298011,124.358149,142,5,17.09,48,2.311,0.5875,0.5095076395,0.7457810472,0.7795293641,3.933617021,4.535751421,0.5875,16398183.47,16.39818347,4.120156683,3.548904107,
E. pacifica/ T. spinifera,NOAA,94,5/30/2021,NWC STATION,44.298011,124.358149,142,6,16.45,45,2.1714,0.549,0.4757189045,0.7471677259,0.7809160429,3.955191257,4.564460187,0.549,17852959.57,17.85295957,4.485679211,3.863747571,
E. pacifica/ T. spinifera,NOAA,94,5/30/2021,NWC STATION,44.298011,124.358149,142,7,16.74,44,2.0184,0.519,0.450882397,0.7428656361,0.7766139531,3.889017341,4.476555335,0.519,18058535.29,18.05853529,4.537331528,3.908238384,
E. pacifica/ T. spinifera,NOAA,94,5/30/2021,NWC STATION,44.298011,124.358149,142,8,17.56,48,2.1282,0.5666,0.4947768318,0.7337656235,0.7675139405,3.756088952,4.301333173,0.5666,17862592.52,17.86259252,4.488099556,3.865832339,
E. pacifica/ T. spinifera,NOAA,94,5/30/2021,NWC STATION,44.298011,124.358149,142,9,16.73,50,2.1375,0.5651,0.4929629725,0.735625731,0.769374048,3.782516369,4.336025461,0.5651,18027607.68,18.02760768,4.529560753,3.901545013,
E. pacifica/ T. spinifera,NOAA,94,5/30/2021,NWC STATION,44.298011,124.358149,142,10,17.33,41,2.2713,0.5979,0.5212474477,0.7367586845,0.7705070014,3.798795785,4.357431408,0.5979,17800411.26,17.80041126,4.472476085,3.852375036,
E. pacifica/ T. spinifera,GOLDBOGEN,192,7/11/2022,DAVENPORT,,,,1,16.69,73,2.0374,0.4159,0.3312996363,0.7958672818,0.8373909707,4.898773744,6.149720001,0.4159,15810223.45,15.81022345,3.456694417,2.797614377,
E. pacifica/ T. spinifera,GOLDBOGEN,192,7/11/2022,DAVENPORT,,,,2,17.34,69,2.0356,0.4114,0.326874379,0.7978974258,0.8394211147,4.947982499,6.22746881,0.4114,15083506.26,15.08350626,3.297807399,2.669021984,
E. pacifica/ T. spinifera,GOLDBOGEN,192,7/11/2022,DAVENPORT,,,,3,16.91,73,2.0239,0.4346,0.3505602061,0.7852660705,0.8267897593,4.656925909,5.773330699,0.4346,14762575.05,14.76257505,3.227640072,2.612233301,
E. pacifica/ T. spinifera,GOLDBOGEN,192,7/11/2022,DAVENPORT,,,,4,16.53,60,2.0752,0.4315,0.3453300409,0.7920682344,0.8335919232,4.809269988,6.009323703,0.4315,14950325.82,14.95032582,3.268689273,2.645455745,
E. pacifica/ T. spinifera,GOLDBOGEN,192,7/11/2022,DAVENPORT,,,,5,16.24,86,2.0725,0.4419,0.3558421549,0.7867792521,0.828302941,4.689975107,5.824211583,0.4419,14953012.63,14.95301263,3.269276708,2.645931175,
E. pacifica/ T. spinifera,GOLDBOGEN,192,7/11/2022,DAVENPORT,,,,6,17.12,77,2.0411,0.4545,0.3697459987,0.7773259517,0.8188496405,4.490869087,5.520276101,0.4545,14633021.26,14.63302126,3.199314865,2.589308797,
E. pacifica/ T. spinifera,GOLDBOGEN,192,7/11/2022,DAVENPORT,,,,7,16.74,70,2.0321,0.4677,0.3833197119,0.7698440037,0.8113676926,4.344879196,5.301318813,0.4677,14527047.85,14.52704785,3.176145192,2.570556833,
E. pacifica/ T. spinifera,GOLDBOGEN,192,7/11/2022,DAVENPORT,,,,8,17.56,75,2.0498,0.4755,0.3903847426,0.7680261489,0.8095498377,4.310830705,5.250717501,0.4755,14374386.77,14.37438677,3.142767884,2.5435435,
E. pacifica/ T. spinifera,GOLDBOGEN,192,7/11/2022,DAVENPORT,,,,9,16.73,72,2.066,0.4622,0.3764120588,0.7762826718,0.8178063607,4.469926439,5.488665816,0.4622,14115595.77,14.11559577,3.086186685,2.497750509,
E. pacifica/ T. spinifera,GOLDBOGEN,192,7/11/2022,DAVENPORT,,,,10,17.33,88,2.0358,0.4943,0.4097660742,0.7571961882,0.7987198771,4.118551487,4.968200464,0.4943,13867027.65,13.86702765,3.031840582,2.453766453,
E. mordax,CDFW,1,5/24/2022,SEASIDE,,,25.6,1,141.74,1,20.3124,6.1421,5.594807039,0.6976182037,0.7245619898,3.307077384,3.630580976,1.1294,21803001.26,21.80300126,6.483599263,5.891119069,
E. mordax,CDFW,1,5/24/2022,SEASIDE,,,25.6,1,141.74,1,20.3124,6.1421,5.594807039,0.6976182037,0.7245619898,3.307077384,3.630580976,1.2033,21337560.66,21.33756066,6.345190322,5.765358126,
E. mordax,CDFW,1,5/24/2022,SEASIDE,,,25.6,1,141.74,1,20.3124,6.1421,5.594807039,0.6976182037,0.7245619898,3.307077384,3.630580976,1.2072,21147374.6,21.1473746,6.288634337,5.713970305,
E. mordax,CDFW,1,5/24/2022,SEASIDE,,,25.6,2,120.85,1,10.2942,3.0144,2.737035277,0.707174914,0.7341187001,3.415007962,3.761076844,0.5994,23112077.36,23.11207736,6.872881672,6.244828317,
E. mordax,CDFW,1,5/24/2022,SEASIDE,,,25.6,2,120.85,1,10.2942,3.0144,2.737035277,0.707174914,0.7341187001,3.415007962,3.761076844,0.5866,22850884.57,22.85088457,6.795210283,6.174254646,
E. mordax,CDFW,1,5/24/2022,SEASIDE,,,25.6,2,120.85,1,10.2942,3.0144,2.737035277,0.707174914,0.7341187001,3.415007962,3.761076844,0.9051,22861754.03,22.86175403,6.798442555,6.177191548,
E. mordax,CDFW,1,5/24/2022,SEASIDE,,,25.6,3,126.57,1,14.1721,3.6935,3.311649969,0.7393823075,0.7663260936,3.83703804,4.279467979,1.081,22819055.65,22.81905565,6.785745258,6.165654548,
E. mordax,CDFW,1,5/24/2022,SEASIDE,,,25.6,3,126.57,1,14.1721,3.6935,3.311649969,0.7393823075,0.7663260936,3.83703804,4.279467979,0.5243,22295094.28,22.29509428,6.629933885,6.024081432,
E. mordax,CDFW,1,5/24/2022,SEASIDE,,,25.6,3,126.57,1,14.1721,3.6935,3.311649969,0.7393823075,0.7663260936,3.83703804,4.279467979,1.1866,22237735.65,22.23773565,6.612877042,6.008583267,
E. mordax,CDFW,1,5/24/2022,SEASIDE,,,25.6,4,132.72,1,16.0297,5.1231,4.691199192,0.6803995084,0.7073432945,3.128906326,3.416972792,1.0465,23346525.43,23.34652543,6.942599933,6.308175627,
